id,source_name,Other_name,BZcat_name,ra,dec,WISE_mag_2,NVSS_FIRST_flux,z_flag,redshift,nu_flag,nu_peak,flux_peak,Fermi_counterpart,blazar_type,Fermi_gr_slope,Fermi_gr_slope_error,TEV_FOM
205,1WHSP J041652.4+010523,SHBLJ041652.6+01053,5BZBJ0416+0105,64.21867,1.08997,12.0,120.7,1,0.287,1,16.5,-10.8,3FGL J0416.8+0104,0,1.7,0.11,3.16
728,1WHSP J154604.2+081913,2FGLJ1546.1+0820,5BZBJ1546+0819,236.51775,8.32042,12.7,10.7,3,0.35,1,15.6,-11.6,3FGL J1546.0+0818,0,1.7,0.11,0.5
902,1WHSP J213103.2-274657,RXSJ21310-2747,5BZBJ2131-2746,322.7635,-27.78275,12.8,37.5,3,0.38,1,16.1,-11.5,3FGL J2130.8-2745,0,1.7,0.11,0.63
348,1WHSP J090900.6+231112,RXSJ09090+2311,5BZBJ0909+2311,137.25262,23.18692,12.7,47.4,1,0.223,1,15.2,-11.9,3FGL J0909.0+2310,0,1.7,0.12,0.25
317,1WHSP J080938.9+345537,1RXSJ080938.5+345544,5BZGJ0809+3455,122.41212,34.92703,12.2,223.5,1,0.083,1,16.9,-11.6,3FGL J0809.6+3456,0,1.7,0.13,0.5
388,1WHSP J101244.2+422957,1RXSJ101244.4+422959,5BZBJ1012+4229,153.1845,42.49917,13.3,79.6,1,0.365,3,17.0,-11.4,3FGL J1012.7+4229,0,1.7,0.13,0.79
872,1WHSP J202429.3-084804,1RXSJ202428.9-084810,--,306.12238,-8.80125,13.1,37.1,0,0,1,16.3,-11.7,3FGL J2024.4-0848,1,1.7,0.14,0.4
143,1WHSP J024440.2-581954,1RXSJ024439.8-581953,5BZBJ0244-5819,41.16779,-58.33181,12.6,92.6,1,0.26,1,16.8,-11.4,3FGL J0244.8-5818,0,1.7,0.14,0.79
987,1WHSP J235612.1+403644,2FGLJ2356.1+4034,5BZGJ2356+4036,359.05067,40.61247,12.6,25.0,1,0.331,1,16.2,-12.1,3FGL J2356.0+4037,0,1.7,0.14,0.16
280,1WHSP J062636.7-425805,2FGLJ0626.8-4258,--,96.65296,-42.96833,13.8,14.1,0,0,1,15.4,-12.2,3FGL J0626.6-4259,1,1.7,0.15,0.13
485,1WHSP J115404.5-001009,SHBLJ115404.9-00100,5BZBJ1154-0010,178.519,-0.16933,13.6,10.7,1,0.254,1,16.6,-11.9,3FGL J1154.2-0010,0,1.7,0.15,0.25
58,1WHSP J010956.5-402050,1RXSJ010956.5-402047,--,17.48571,-40.34747,13.2,96.0,0,0,1,16.4,-11.8,3FGL J0109.9-4020,1,1.7,0.16,0.32
192,1WHSP J034923.1-115927,SHBLJ034922.8-11592,5BZBJ0349-1159,57.34658,-11.99089,13.7,24.9,1,0.188,1,17.8,-10.9,3FGL J0349.2-1158,0,1.7,0.16,2.51
296,1WHSP J073326.7+515355,PGC2402248,--,113.36163,51.89886,12.0,25.0,0,0,1,17.9,-11.1,3FGL J0733.5+5153,1,1.7,0.17,1.58
729,1WHSP J154712.1-280221,1RXSJ154711.8-280222,--,236.80054,-28.03931,13.4,47.5,3,0.57,1,15.8,-12.1,3FGL J1547.1-2801,5,1.7,0.17,0.16
420,1WHSP J105125.3+394325,SHBLJ105125.1+39432,5BZBJ1051+3943,162.85567,39.72381,13.9,11.0,3,0.58,1,16.8,-11.9,3FGL J1051.4+3941,0,1.7,0.17,0.25
357,1WHSP J092542.8+595816,1RXSJ092543.0+595826,5BZBJ0925+5958,141.42871,59.97117,14.4,10.1,3,0.7,1,15.5,-12.2,3FGL J0925.6+5959,0,1.7,0.17,0.13
112,1WHSP J020838.1+352312,SHBLJ020837.5+35231,5BZBJ0208+3523,32.159,35.38692,14.4,4.9,1,0.318,1,16.1,-12.1,3FGL J0208.6+3522,0,1.7,0.19,0.16
30,1WHSP J003908.2-222001,0036-2236,--,9.78421,-22.33372,12.0,117.2,1,0.064,1,16.7,-11.9,3FGL J0039.0-2218,5,1.7,0.2,0.25
53,1WHSP J005916.9-015017,2FGLJ0059.2-0151,5BZGJ0059-0150,14.8205,-1.83819,13.2,18.1,1,0.114,1,17.6,-11.6,3FGL J0059.2-0152,0,1.7,0.2,0.5
886,1WHSP J205456.8+001537,SDSSJ20549+0015,5BZGJ2054+0015,313.73687,0.26053,12.8,57.1,1,0.151,3,17.0,-12.0,3FGL J2055.0+0016,0,1.7,0.2,0.2
582,1WHSP J132301.0+043951,1RXSJ132301.1+044000,5BZGJ1323+0439,200.75421,4.66431,13.2,37.1,1,0.224,1,16.8,-11.9,3FGL J1322.9+0435,0,1.7,0.2,0.25
674,1WHSP J144644.8-182925,-,--,221.68679,-18.49031,14.1,25.7,0,0,1,16.2,-12.2,3FGL J1446.8-1831,1,1.7,0.21,0.13
840,1WHSP J182419.0+430949,1RXSJ182418.7+430954,--,276.07929,43.16375,14.0,33.7,0,0,2,17.6,-11.9,3FGL J1824.4+4310,1,1.7,0.21,0.25
694,1WHSP J150842.6+270908,RXSJ15087+2709,5BZBJ1508+2709,227.17787,27.1525,13.2,40.1,1,0.27,1,17.8,-11.4,3FGL J1508.6+2709,3,1.7,0.21,0.79
399,1WHSP J102339.7+300057,RXSJ10237+3001,5BZBJ1023+3000,155.91567,30.01608,13.2,9.1,1,0.433,1,15.8,-12.0,3FGL J1023.7+3000,0,1.7,0.21,0.2
385,1WHSP J100656.4+345445,SHBLJ100656.9+34544,5BZBJ1006+3454,151.73529,34.91256,13.3,6.7,3,0.5,1,15.2,-12.1,3FGL J1006.7+3453,2,1.7,0.22,0.16
34,1WHSP J004334.1-044300,1RXSJ004333.7-044257,--,10.89217,-4.71678,13.6,29.8,3,0.48,1,16.3,-11.8,3FGL J0043.5-0444,5,1.7,0.23,0.32
773,1WHSP J162625.8+351341,SDSSJ162625.85+35134,5BZBJ1626+3513,246.60775,35.22819,13.4,24.9,3,0.49,1,16.0,-12.0,3FGL J1626.1+3512,0,1.7,0.23,0.2
831,1WHSP J175713.0+703337,SHBLJ175712.8+70333,5BZBJ1757+7033,269.30446,70.5605,13.7,10.9,1,0.407,1,16.4,-11.5,3FGL J1756.9+7032,0,1.7,0.24,0.63
896,1WHSP J211011.1-861847,-,--,317.54658,-86.31322,13.4,25.1,0,0,1,15.4,-12.0,3FGL J2108.6-8619,1,1.7,0.27,0.2
436,1WHSP J110427.3+381231,SHBLJ110427.1+38123,5BZBJ1104+3812,166.11383,38.20886,8.8,768.6,1,0.03,1,16.5,-9.54,3FGL J1104.4+3812,3,1.8,0.01,57.5
923,1WHSP J215852.0-301332,SHBLJ215852.2-30133,5BZBJ2158-3013,329.71687,-30.22556,8.4,479.2,2,0.117,1,15.5,-10.0,3FGL J2158.8-3013,0,1.8,0.02,20.0
226,1WHSP J044924.6-435008,PKS0447-439,5BZBJ0449-4350,72.35288,-43.83581,9.7,382.1,3,0.19,1,15.6,-10.3,3FGL J0449.4-4350,0,1.8,0.02,10.0
391,1WHSP J101504.1+492600,GB6J1015+4926,5BZBJ1015+4926,153.76721,49.43356,10.7,378.2,3,0.2,1,16.1,-10.7,3FGL J1015.0+4925,0,1.8,0.02,3.98
654,1WHSP J142700.3+234800,PKS1424+240,5BZBJ1427+2348,216.75162,23.8,9.3,430.2,3,0.604,1,15.4,-10.3,3FGL J1427.0+2347,4,1.8,0.02,10.0
941,1WHSP J224354.7+202103,RGBJ2243+203,5BZBJ2243+2021,340.97808,20.35106,11.1,109.0,0,0,1,15.7,-10.9,3FGL J2243.9+2021,0,1.8,0.03,2.51
870,1WHSP J200925.3-484953,PKS2005-489,5BZBJ2009-4849,302.35579,-48.83153,9.4,1299.0,1,0.071,1,16.3,-10.3,3FGL J2009.3-4849,0,1.8,0.03,10.0
536,1WHSP J124312.7+362743,GB6B1240+3644,5BZBJ1243+3627,190.80308,36.46222,11.2,148.0,3,0.31,1,16.2,-10.8,3FGL J1243.1+3627,0,1.8,0.04,3.16
483,1WHSP J115034.7+415439,1RXSJ115035.2+415446,5BZBJ1150+4154,177.64483,41.91111,12.0,26.5,3,0.32,1,15.6,-11.4,3FGL J1150.5+4155,0,1.8,0.04,0.79
